State,Total Medicaid Enrollees,Total Medicaid Enrollment in Any Type of Managed Care,Medicaid Enrollment in Comprehensive Managed Care,Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs,Year,combined
Northern Mariana Islands,0.0,0.0,0.0,0.0,2016,"State: Northern Mariana Islands, Year: 2016, Total Medicaid Enrollees: 0.0, Medicaid Enrollment in Managed Care: 0.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Louisiana,1504333.0,1381116.0,1263562.0,282115.0,2016,"State: Louisiana, Year: 2016, Total Medicaid Enrollees: 1504333.0, Medicaid Enrollment in Managed Care: 1381116.0, Medicaid Enrollment in Comprehensive Managed Care: 1263562.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 282115.0"
New Jersey,1679572.0,1557081.0,1557081.0,516336.0,2016,"State: New Jersey, Year: 2016, Total Medicaid Enrollees: 1679572.0, Medicaid Enrollment in Managed Care: 1557081.0, Medicaid Enrollment in Comprehensive Managed Care: 1557081.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 516336.0"
Delaware,221229.0,196102.0,196102.0,53352.0,2016,"State: Delaware, Year: 2016, Total Medicaid Enrollees: 221229.0, Medicaid Enrollment in Managed Care: 196102.0, Medicaid Enrollment in Comprehensive Managed Care: 196102.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 53352.0"
Washington,1820084.0,1820084.0,1557421.0,525700.0,2016,"State: Washington, Year: 2016, Total Medicaid Enrollees: 1820084.0, Medicaid Enrollment in Managed Care: 1820084.0, Medicaid Enrollment in Comprehensive Managed Care: 1557421.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 525700.0"
Guam,0.0,0.0,0.0,0.0,2016,"State: Guam, Year: 2016, Total Medicaid Enrollees: 0.0, Medicaid Enrollment in Managed Care: 0.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Oregon,1109321.0,894543.0,894543.0,422316.0,2016,"State: Oregon, Year: 2016, Total Medicaid Enrollees: 1109321.0, Medicaid Enrollment in Managed Care: 894543.0, Medicaid Enrollment in Comprehensive Managed Care: 894543.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 422316.0"
Alaska5,155865.0,0.0,0.0,0.0,2016,"State: Alaska5, Year: 2016, Total Medicaid Enrollees: 155865.0, Medicaid Enrollment in Managed Care: 0.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
New Hampshire,206997.0,136985.0,136985.0,5929.0,2016,"State: New Hampshire, Year: 2016, Total Medicaid Enrollees: 206997.0, Medicaid Enrollment in Managed Care: 136985.0, Medicaid Enrollment in Comprehensive Managed Care: 136985.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 5929.0"
New Mexico,884368.0,684488.0,684488.0,222110.0,2016,"State: New Mexico, Year: 2016, Total Medicaid Enrollees: 884368.0, Medicaid Enrollment in Managed Care: 684488.0, Medicaid Enrollment in Comprehensive Managed Care: 684488.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 222110.0"
South Carolina,1235361.0,1235361.0,742528.0,0.0,2016,"State: South Carolina, Year: 2016, Total Medicaid Enrollees: 1235361.0, Medicaid Enrollment in Managed Care: 1235361.0, Medicaid Enrollment in Comprehensive Managed Care: 742528.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Indiana,1421696.0,1078625.0,1078625.0,318450.0,2016,"State: Indiana, Year: 2016, Total Medicaid Enrollees: 1421696.0, Medicaid Enrollment in Managed Care: 1078625.0, Medicaid Enrollment in Comprehensive Managed Care: 1078625.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 318450.0"
Maine,277697.0,239953.0,0.0,0.0,2016,"State: Maine, Year: 2016, Total Medicaid Enrollees: 277697.0, Medicaid Enrollment in Managed Care: 239953.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Rhode Island,293676.0,278087.0,251714.0,66909.0,2016,"State: Rhode Island, Year: 2016, Total Medicaid Enrollees: 293676.0, Medicaid Enrollment in Managed Care: 278087.0, Medicaid Enrollment in Comprehensive Managed Care: 251714.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 66909.0"
Mississippi,726473.0,499365.0,499365.0,0.0,2016,"State: Mississippi, Year: 2016, Total Medicaid Enrollees: 726473.0, Medicaid Enrollment in Managed Care: 499365.0, Medicaid Enrollment in Comprehensive Managed Care: 499365.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Georgia,1857292.0,1228700.0,1218210.0,0.0,2016,"State: Georgia, Year: 2016, Total Medicaid Enrollees: 1857292.0, Medicaid Enrollment in Managed Care: 1228700.0, Medicaid Enrollment in Comprehensive Managed Care: 1218210.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
West Virginia,553318.0,390083.0,390083.0,163693.0,2016,"State: West Virginia, Year: 2016, Total Medicaid Enrollees: 553318.0, Medicaid Enrollment in Managed Care: 390083.0, Medicaid Enrollment in Comprehensive Managed Care: 390083.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 163693.0"
Utah,294707.0,291426.0,244763.0,0.0,2016,"State: Utah, Year: 2016, Total Medicaid Enrollees: 294707.0, Medicaid Enrollment in Managed Care: 291426.0, Medicaid Enrollment in Comprehensive Managed Care: 244763.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Colorado,1344548.0,1291043.0,134792.0,37943.0,2016,"State: Colorado, Year: 2016, Total Medicaid Enrollees: 1344548.0, Medicaid Enrollment in Managed Care: 1291043.0, Medicaid Enrollment in Comprehensive Managed Care: 134792.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 37943.0"
Ohio,3022121.0,2455224.0,2413500.0,643312.0,2016,"State: Ohio, Year: 2016, Total Medicaid Enrollees: 3022121.0, Medicaid Enrollment in Managed Care: 2455224.0, Medicaid Enrollment in Comprehensive Managed Care: 2413500.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 643312.0"
American Samoa,0.0,0.0,0.0,0.0,2016,"State: American Samoa, Year: 2016, Total Medicaid Enrollees: 0.0, Medicaid Enrollment in Managed Care: 0.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
New York,6139403.0,4669344.0,4512115.0,1887296.0,2016,"State: New York, Year: 2016, Total Medicaid Enrollees: 6139403.0, Medicaid Enrollment in Managed Care: 4669344.0, Medicaid Enrollment in Comprehensive Managed Care: 4512115.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 1887296.0"
Texas,4051664.0,3922822.0,3582604.0,0.0,2016,"State: Texas, Year: 2016, Total Medicaid Enrollees: 4051664.0, Medicaid Enrollment in Managed Care: 3922822.0, Medicaid Enrollment in Comprehensive Managed Care: 3582604.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Iowa,624973.0,562382.0,562382.0,144383.0,2016,"State: Iowa, Year: 2016, Total Medicaid Enrollees: 624973.0, Medicaid Enrollment in Managed Care: 562382.0, Medicaid Enrollment in Comprehensive Managed Care: 562382.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 144383.0"
Vermont,200481.0,124399.0,124399.0,46107.0,2016,"State: Vermont, Year: 2016, Total Medicaid Enrollees: 200481.0, Medicaid Enrollment in Managed Care: 124399.0, Medicaid Enrollment in Comprehensive Managed Care: 124399.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 46107.0"
Illinois,3230870.0,1967783.0,1967553.0,434953.0,2016,"State: Illinois, Year: 2016, Total Medicaid Enrollees: 3230870.0, Medicaid Enrollment in Managed Care: 1967783.0, Medicaid Enrollment in Comprehensive Managed Care: 1967553.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 434953.0"
Nevada,629265.0,557397.0,401434.0,175686.0,2016,"State: Nevada, Year: 2016, Total Medicaid Enrollees: 629265.0, Medicaid Enrollment in Managed Care: 557397.0, Medicaid Enrollment in Comprehensive Managed Care: 401434.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 175686.0"
Florida,3900380.0,3280187.0,3187837.0,0.0,2016,"State: Florida, Year: 2016, Total Medicaid Enrollees: 3900380.0, Medicaid Enrollment in Managed Care: 3280187.0, Medicaid Enrollment in Comprehensive Managed Care: 3187837.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Puerto Rico8,1617501.0,1617501.0,1617501.0,0.0,2016,"State: Puerto Rico8, Year: 2016, Total Medicaid Enrollees: 1617501.0, Medicaid Enrollment in Managed Care: 1617501.0, Medicaid Enrollment in Comprehensive Managed Care: 1617501.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Oklahoma,792387.0,643789.0,310.0,0.0,2016,"State: Oklahoma, Year: 2016, Total Medicaid Enrollees: 792387.0, Medicaid Enrollment in Managed Care: 643789.0, Medicaid Enrollment in Comprehensive Managed Care: 310.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Minnesota,1088610.0,817463.0,814947.0,162747.0,2016,"State: Minnesota, Year: 2016, Total Medicaid Enrollees: 1088610.0, Medicaid Enrollment in Managed Care: 817463.0, Medicaid Enrollment in Comprehensive Managed Care: 814947.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 162747.0"
Wisconsin,1204511.0,801939.0,754202.0,0.0,2016,"State: Wisconsin, Year: 2016, Total Medicaid Enrollees: 1204511.0, Medicaid Enrollment in Managed Care: 801939.0, Medicaid Enrollment in Comprehensive Managed Care: 754202.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Maryland,1324796.0,1080085.0,1080085.0,247085.0,2016,"State: Maryland, Year: 2016, Total Medicaid Enrollees: 1324796.0, Medicaid Enrollment in Managed Care: 1080085.0, Medicaid Enrollment in Comprehensive Managed Care: 1080085.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 247085.0"
Connecticut7,860758.0,0.0,0.0,0.0,2016,"State: Connecticut7, Year: 2016, Total Medicaid Enrollees: 860758.0, Medicaid Enrollment in Managed Care: 0.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
North Carolina,2028935.0,1581301.0,1636.0,0.0,2016,"State: North Carolina, Year: 2016, Total Medicaid Enrollees: 2028935.0, Medicaid Enrollment in Managed Care: 1581301.0, Medicaid Enrollment in Comprehensive Managed Care: 1636.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Nebraska,244355.0,242836.0,191479.0,0.0,2016,"State: Nebraska, Year: 2016, Total Medicaid Enrollees: 244355.0, Medicaid Enrollment in Managed Care: 242836.0, Medicaid Enrollment in Comprehensive Managed Care: 191479.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Virgin Islands,0.0,0.0,0.0,0.0,2016,"State: Virgin Islands, Year: 2016, Total Medicaid Enrollees: 0.0, Medicaid Enrollment in Managed Care: 0.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Kansas,435850.0,390829.0,390829.0,0.0,2016,"State: Kansas, Year: 2016, Total Medicaid Enrollees: 435850.0, Medicaid Enrollment in Managed Care: 390829.0, Medicaid Enrollment in Comprehensive Managed Care: 390829.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Arizona,1849166.0,1560972.0,1560972.0,387382.0,2016,"State: Arizona, Year: 2016, Total Medicaid Enrollees: 1849166.0, Medicaid Enrollment in Managed Care: 1560972.0, Medicaid Enrollment in Comprehensive Managed Care: 1560972.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 387382.0"
Tennessee9,1684268.0,1556369.0,1556369.0,0.0,2016,"State: Tennessee9, Year: 2016, Total Medicaid Enrollees: 1684268.0, Medicaid Enrollment in Managed Care: 1556369.0, Medicaid Enrollment in Comprehensive Managed Care: 1556369.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Idaho,295267.0,280527.0,2326.0,0.0,2016,"State: Idaho, Year: 2016, Total Medicaid Enrollees: 295267.0, Medicaid Enrollment in Managed Care: 280527.0, Medicaid Enrollment in Comprehensive Managed Care: 2326.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Georgia,1813016.0,1256809.0,1247705.0,0.0,2017,"State: Georgia, Year: 2017, Total Medicaid Enrollees: 1813016.0, Medicaid Enrollment in Managed Care: 1256809.0, Medicaid Enrollment in Comprehensive Managed Care: 1247705.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Rhode Island,337809.0,309037.0,270550.0,76676.0,2017,"State: Rhode Island, Year: 2017, Total Medicaid Enrollees: 337809.0, Medicaid Enrollment in Managed Care: 309037.0, Medicaid Enrollment in Comprehensive Managed Care: 270550.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 76676.0"
Nevada,653968.0,578683.0,448513.0,183853.0,2017,"State: Nevada, Year: 2017, Total Medicaid Enrollees: 653968.0, Medicaid Enrollment in Managed Care: 578683.0, Medicaid Enrollment in Comprehensive Managed Care: 448513.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 183853.0"
Washington,1824730.0,1824730.0,1612402.0,535481.0,2017,"State: Washington, Year: 2017, Total Medicaid Enrollees: 1824730.0, Medicaid Enrollment in Managed Care: 1824730.0, Medicaid Enrollment in Comprehensive Managed Care: 1612402.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 535481.0"
North Carolina,2110914.0,1607806.0,1943.0,0.0,2017,"State: North Carolina, Year: 2017, Total Medicaid Enrollees: 2110914.0, Medicaid Enrollment in Managed Care: 1607806.0, Medicaid Enrollment in Comprehensive Managed Care: 1943.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Louisiana,1626037.0,1493106.0,1378125.0,431971.0,2017,"State: Louisiana, Year: 2017, Total Medicaid Enrollees: 1626037.0, Medicaid Enrollment in Managed Care: 1493106.0, Medicaid Enrollment in Comprehensive Managed Care: 1378125.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 431971.0"
Utah,284316.0,282603.0,235408.0,0.0,2017,"State: Utah, Year: 2017, Total Medicaid Enrollees: 284316.0, Medicaid Enrollment in Managed Care: 282603.0, Medicaid Enrollment in Comprehensive Managed Care: 235408.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Mississippi,708992.0,487201.0,487201.0,0.0,2017,"State: Mississippi, Year: 2017, Total Medicaid Enrollees: 708992.0, Medicaid Enrollment in Managed Care: 487201.0, Medicaid Enrollment in Comprehensive Managed Care: 487201.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Arizona,1917183.0,1617558.0,1617558.0,398993.0,2017,"State: Arizona, Year: 2017, Total Medicaid Enrollees: 1917183.0, Medicaid Enrollment in Managed Care: 1617558.0, Medicaid Enrollment in Comprehensive Managed Care: 1617558.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 398993.0"
New Hampshire,204458.0,133811.0,133811.0,7005.0,2017,"State: New Hampshire, Year: 2017, Total Medicaid Enrollees: 204458.0, Medicaid Enrollment in Managed Care: 133811.0, Medicaid Enrollment in Comprehensive Managed Care: 133811.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 7005.0"
Indiana,1475463.0,1138368.0,1138368.0,337415.0,2017,"State: Indiana, Year: 2017, Total Medicaid Enrollees: 1475463.0, Medicaid Enrollment in Managed Care: 1138368.0, Medicaid Enrollment in Comprehensive Managed Care: 1138368.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 337415.0"
American Samoa,0.0,0.0,0.0,0.0,2017,"State: American Samoa, Year: 2017, Total Medicaid Enrollees: 0.0, Medicaid Enrollment in Managed Care: 0.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Missouri,983835.0,975297.0,733120.0,0.0,2017,"State: Missouri, Year: 2017, Total Medicaid Enrollees: 983835.0, Medicaid Enrollment in Managed Care: 975297.0, Medicaid Enrollment in Comprehensive Managed Care: 733120.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
South Carolina,1217302.0,1217302.0,772513.0,0.0,2017,"State: South Carolina, Year: 2017, Total Medicaid Enrollees: 1217302.0, Medicaid Enrollment in Managed Care: 1217302.0, Medicaid Enrollment in Comprehensive Managed Care: 772513.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Guam,0.0,0.0,0.0,0.0,2017,"State: Guam, Year: 2017, Total Medicaid Enrollees: 0.0, Medicaid Enrollment in Managed Care: 0.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
New York,6105120.0,4710609.0,4526311.0,3133832.0,2017,"State: New York, Year: 2017, Total Medicaid Enrollees: 6105120.0, Medicaid Enrollment in Managed Care: 4710609.0, Medicaid Enrollment in Comprehensive Managed Care: 4526311.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 3133832.0"
Connecticut,860758.0,0.0,0.0,0.0,2017,"State: Connecticut, Year: 2017, Total Medicaid Enrollees: 860758.0, Medicaid Enrollment in Managed Care: 0.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Oklahoma,808267.0,652952.0,410.0,0.0,2017,"State: Oklahoma, Year: 2017, Total Medicaid Enrollees: 808267.0, Medicaid Enrollment in Managed Care: 652952.0, Medicaid Enrollment in Comprehensive Managed Care: 410.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Virginia,1083750.0,723896.0,723896.0,0.0,2017,"State: Virginia, Year: 2017, Total Medicaid Enrollees: 1083750.0, Medicaid Enrollment in Managed Care: 723896.0, Medicaid Enrollment in Comprehensive Managed Care: 723896.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Kentucky,1403257.0,1308047.0,1251070.0,457720.0,2017,"State: Kentucky, Year: 2017, Total Medicaid Enrollees: 1403257.0, Medicaid Enrollment in Managed Care: 1308047.0, Medicaid Enrollment in Comprehensive Managed Care: 1251070.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 457720.0"
Ohio,3083411.0,2551378.0,2551378.0,636997.0,2017,"State: Ohio, Year: 2017, Total Medicaid Enrollees: 3083411.0, Medicaid Enrollment in Managed Care: 2551378.0, Medicaid Enrollment in Comprehensive Managed Care: 2551378.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 636997.0"
Illinois,3192569.0,1912602.0,1884379.0,419341.0,2017,"State: Illinois, Year: 2017, Total Medicaid Enrollees: 3192569.0, Medicaid Enrollment in Managed Care: 1912602.0, Medicaid Enrollment in Comprehensive Managed Care: 1884379.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 419341.0"
Texas,4038159.0,3903380.0,3693046.0,0.0,2017,"State: Texas, Year: 2017, Total Medicaid Enrollees: 4038159.0, Medicaid Enrollment in Managed Care: 3903380.0, Medicaid Enrollment in Comprehensive Managed Care: 3693046.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Colorado,1381208.0,1327452.0,140886.0,52630.0,2017,"State: Colorado, Year: 2017, Total Medicaid Enrollees: 1381208.0, Medicaid Enrollment in Managed Care: 1327452.0, Medicaid Enrollment in Comprehensive Managed Care: 140886.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 52630.0"
Alaska,155865.0,0.0,0.0,0.0,2017,"State: Alaska, Year: 2017, Total Medicaid Enrollees: 155865.0, Medicaid Enrollment in Managed Care: 0.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Hawaii,365087.0,360905.0,360905.0,95601.0,2017,"State: Hawaii, Year: 2017, Total Medicaid Enrollees: 365087.0, Medicaid Enrollment in Managed Care: 360905.0, Medicaid Enrollment in Comprehensive Managed Care: 360905.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 95601.0"
Montana,230296.0,175012.0,0.0,0.0,2017,"State: Montana, Year: 2017, Total Medicaid Enrollees: 230296.0, Medicaid Enrollment in Managed Care: 175012.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Wyoming,61529.0,395.0,129.0,0.0,2017,"State: Wyoming, Year: 2017, Total Medicaid Enrollees: 61529.0, Medicaid Enrollment in Managed Care: 395.0, Medicaid Enrollment in Comprehensive Managed Care: 129.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Massachusetts,1874779.0,1247614.0,851372.0,275432.0,2017,"State: Massachusetts, Year: 2017, Total Medicaid Enrollees: 1874779.0, Medicaid Enrollment in Managed Care: 1247614.0, Medicaid Enrollment in Comprehensive Managed Care: 851372.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 275432.0"
Kansas,416645.0,398556.0,398556.0,0.0,2017,"State: Kansas, Year: 2017, Total Medicaid Enrollees: 416645.0, Medicaid Enrollment in Managed Care: 398556.0, Medicaid Enrollment in Comprehensive Managed Care: 398556.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Oregon,1067322.0,859634.0,859634.0,388131.0,2017,"State: Oregon, Year: 2017, Total Medicaid Enrollees: 1067322.0, Medicaid Enrollment in Managed Care: 859634.0, Medicaid Enrollment in Comprehensive Managed Care: 859634.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 388131.0"
South Dakota,124676.0,93369.0,0.0,0.0,2017,"State: South Dakota, Year: 2017, Total Medicaid Enrollees: 124676.0, Medicaid Enrollment in Managed Care: 93369.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
New Mexico,898965.0,695772.0,695772.0,232260.0,2017,"State: New Mexico, Year: 2017, Total Medicaid Enrollees: 898965.0, Medicaid Enrollment in Managed Care: 695772.0, Medicaid Enrollment in Comprehensive Managed Care: 695772.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 232260.0"
